8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8,0,0,0,0,0,0,0,0,0,0,0,10,5,5,5,5,5,5,8,0,2,0,2,1,1,0,1,1,10
8,0,0,0,0,0,0,0,0,0,0,0,10,5,5,5,5,5,5,8,0,2,2,1,2,0,1,1,0,10
8,0,0,0,0,0,0,0,0,0,0,0,10,3,3,3,3,3,3,8,0,0,1,1,0,2,2,1,2,10
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,2,2,1,1,2,1,1,1,10
8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,1,1,2,1,0,1,0,2,1,10
8,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,2,0,1,2,0,0,2,1,1,1,0,10
8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,2,0,2,0,2,0,0,2,0,1,10
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0,0,1,1,0,0,1,0,10
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,2,2,1,0,1,1,2,10
8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,2,1,2,1,1,2,1,0,2,10
8,0,0,0,0,0,0,0,0,0,0,0,10,3,3,3,3,3,3,8,2,1,2,0,2,0,0,0,0,10
8,0,0,0,0,0,0,0,0,0,0,0,10,5,5,5,5,5,5,8,2,0,2,2,0,1,2,0,0,10
8,0,0,0,0,0,0,0,0,0,0,0,10,5,5,5,5,5,5,8,2,0,1,0,1,0,0,0,0,10
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
